algo,N,seed,time_sec,checks,assignments,status
BT,8,0,0.000500,3067,16,success
FC,8,0,0.000325,1508,35,success
MAC,8,0,0.000811,4271,16,success
BT,8,1,0.000343,2364,11,success
FC,8,1,0.000163,995,8,success
MAC,8,1,0.000603,3191,11,success
BT,8,2,0.004843,32129,216,success
FC,8,2,0.000302,1594,37,success
MAC,8,2,0.008443,48428,216,success
BT,16,0,0.017247,157642,163,success
FC,16,0,0.001460,13054,21,success
MAC,16,0,0.026242,202540,163,success
BT,16,1,0.017144,160734,178,success
FC,16,1,0.001424,13106,19,success
MAC,16,1,0.029345,209745,178,success
BT,16,2,0.161099,1517893,1560,success
FC,16,2,0.001394,12886,19,success
MAC,16,2,0.252220,1947982,1560,success
BT,32,0,1.292248,13284870,2652,success
FC,32,0,0.019254,197111,131,success
MAC,32,0,1.888739,16094706,2652,success
BT,32,1,3.542230,36476309,7296,success
FC,32,1,0.018460,192346,41,success
MAC,32,1,5.190115,44210063,7296,success
BT,32,2,60.146104,623006749,107756,success
FC,32,2,0.018602,191461,67,success
MAC,32,2,84.275098,737206107,107756,success
BT,64,0,170.370796,1818758906,62950,success
FC,64,0,0.278299,2927156,74,success
MAC,64,0,227.051312,2080882700,62950,success
BT,64,1,1200.019410,12710077367,395593,failure
FC,64,1,0.278263,2926187,136,success
MAC,64,1,1201.232477,11047810172,302620,failure
BT,64,2,1200.018571,12686639773,416388,failure
FC,64,2,0.274082,2919705,64,success
MAC,64,2,1201.223446,11073096494,318685,failure
